Course Code,Course Name,Level,Term,Description,Prerequisites,Restrictions,Corequisites
ACC 500,Financial Accounting and Reporting,500,"Fall, Spring","Financial Accounting and Reporting Financial Accounting is the information system organizations use to identify, record and communicate relevant economic events and as such all management students should have a strong background in accounting. The purpose of this course is to familiarize the students with basic accounting concepts, principles, and methods as well as to teach them the basic business terminology they will encounter in future management courses and in the business world. The course will help the students appreciate the role of accounting information in financial decision making and is intended to serve as a foundation for subsequent Accounting and Finance courses. The topics covered include demand for accounting information by internal and external users in making investment and credit decisions; supply of accounting information and the institutional background for generally accepted accounting principles; the format and the content of the four basic financial statements; analysis and recording of business transactions through the recording cycle; accounting for current assets including trade receivables and inventories; plant- property- equipment and depreciation; financing through short and long-term debt versus equity; and basic financial ratio analysis. Finansal Muhasebe ve Raporlama Muhasebe, kurumların ekonomik olayları belirlediği, kayıt ettiği ve iletmede kullandığı bir bilgi sistemidir. Dolayısıyla, tüm yönetim bilimleri öğrencilerinin kuvvetli bir muhasebe temeli olması gerekir. Dersin amacı öğrencilere temel muhasebe kavram, prensip, ve metodlarını tanıtmak, ve diğer yönetim bilimleri derslerinde ve iş hayatında karşılaşacakları temel işletme terminolojisini öğretmektir. Bu ders öğrencilerin muhasebe bilgilerinin finansal kararlardaki rolünü anlamalarında yardımcı olup sonraki muhasebe ve finans derslerine temel oluşturur. İşlenecek konular muhasebe bilgilerinin yatırım ve kredi kararlarında kullanılması, şirket içinde muhasebe bilgilerinin oluşturulması ve genel kabul görmüş muhasebe standartlarının kurumsal zemini, dört temel finansal tablonun yapı ve içeriği, işletme faliyetlerinin analizi ve kayıt döngüsü çerçevesinde kaydedilmesi, cari varlıkların (örneğin ticari alacaklar ve envanterler) muhasebeleştirilmesi, sabit varlıklar ve amortisman, kısa ve uzun vadeli borçlanma ile özsermaye finansmanının kıyaslanması, ve temel finansal oran analizi. 1.500",,Must be enrolled in one of the following Programs: MBA-Non Thesis MBA-Non Thesis,
ACC 501,Financial Reporting and Statement Analysis,501,"Fall, Spring","Financial Reporting and Statement Analysis The course provides a comprehensive introduction to the basic concepts, principles, and standards of financial accounting with an emphasis on how financial information is reported to external users and how it is used in resource allocation decisions. The topics covered include the preparation and use of the financial statements, the recording cycle, sales and receivables, inventories and cost of goods sold, plant assets and intangibles, liabilities and owner's equity, cash flow, EBIT, EBITDA and financial statement analysis. Finansal Raporlama ve Finansal Tablo Analizi Finansal Raporlama kavram, prensip ve standartlarına kapsamlı bir giriş sunan bu derste finansal verilerin nasıl raporlandığı ve firma dışındaki kullanıcıların kaynak kullanımı ile ilgili kararlarında nasıl yardımcı olduğu vurgulanmaktadır. Ele alınacak başlıca konular finansal tabloların hazırlanması ve kullanımı, envanter ve satılan malın maliyeti hesapları, maddi ve maddi olmayan duran varlıklar, borç ve öz kaynak finansmanı, nakit akış, FVÖK, FAVÖK ve finansal tablo analizidir. 3.000",,Must be enrolled in one of the following Programs: MBA-Non Thesis MBA-Non Thesis,
ACC 521,Managerial Accounting,521,"Fall, Spring","Managerial Accounting Management accounting provides internal users of the organization with information for controlling and decision making purposes. Today managerial accountants serve as business consultants and often work together with cross-functional teams and managers. In the course the student will learn both to produce the required information and to understand how managers are able to use and react to it. The student will learn the fundamental traditional management accounting such as product costing, budgeting, cost-volume-profit analysis and variance analysis . Moreover, modern approaches to cost management and controlling such as ABC costing and the balanged scorecard will be introduced. The student is expected to play an active role in learning mainly through class discussions as well as oral and written presentations. Practical applications of management accounting will be playing a crucial role all through the course by solving real life problems through cases. Yönetim Muhasebesi Yönetim muhasebesi örgütün iç kullanıcılarına karar verme ve kontrol amaçlı bilgi sağlar. Günümüzde yönetim muhasebecileri danışman olarak hizmet verip birimler arası takımlar ve yöneticiler ile birlikte çalışmaktadır. Bu derste öğrenciler sadece gereken bilginin üretilmesini öğrenmekle kalmayıp aynı zamanda yöneticilerin bu bilgileri nasıl karşılayıp kullanabileceklerini de anlayacaklardır. Öğrenciler ürün maliyetlendirme, bütçeleme, maliyet-miktar-karlılık ilişkileri analizi ve sapmaların analizi gibi temel geleneksel yönetim muhasebe tekniklerini öğrenecektir. Bunlara ek olarak daha modern aktivite bazlı maliyetlendirme ve dengeli puan tablosu gibi maliyet yönetimi ve kontrol yöntemleri de gösterilecektir. Öğrencilerden öğrenme sürecindeki aktif bir rol oynamaları temelde ders tartışmalarına katılmaları ile birlikte sözlü ve yazlılı sunuşlarıyla da beklenmektedir . Bütün ders boyunca yönetim muhasebesinin pratik uygulamalarına verilen önemle gerçek hayat problemleri vaka çalışmaları kullanılarak incelenecektir. 1.500",,Must be enrolled in one of the following Programs: MBA-Non Thesis MS-Bio. Sci. & Bioeng. LFI MS-Computer Sci.&Eng. LFI MS-Mechatronics LFI MS-Electronics Eng&Comp Sc.LFI MS-Industrial Engineering LFI MS-Management Sci - Non Thes MS-Materials Sci. & Eng. LFI MBA-Non Thesis MS-Electronics Eng. LFI,
ACC 523,Applied Turkish Taxation Systems,523,"Fall, Spring","Applied Turkish Taxation Systems This course covers a general overview of taxation systems, followed by an introduction to Turkish tax laws. The topic includes corporate taxation, tax planning, tax treaties, income tax, social security and values added tax. Uygulamalı Türk Vergi Sistemi Bu ders kapsamında öğrencilere vergi kavramları; şirketlerin, tüzel kişiliklerin vergilendirilmesi, vergi planlaması, vergi kanunları ve düzenlemeleri; Türkiye'de Gelir Vergisi, Kurumlar Vergisi ve Vergi Usül Kanununun incelenmesi; Sosyal Sigorta, Stopaj Vergisi, Katma Değer Vergisi konular tanıtılacaktır. 1.500",,Must be enrolled in one of the following Programs: MBA-Non Thesis MS-Bio. Sci. & Bioeng. LFI MS-Computer Sci.&Eng. LFI MS-Mechatronics LFI MS-Electronics Eng&Comp Sc.LFI MS-Industrial Engineering LFI MS-Management Sci - Non Thes MS-Materials Sci. & Eng. LFI MBA-Non Thesis MS-Electronics Eng. LFI,
ACC 801,Financial Reporting and Statement Analysis,801,"Fall, Spring","Financial Reporting and Statement Analysis The course provides a comprehensive introduction to the basic concepts, principles, and standards of financial accounting with an emphasis on how financial information is reported to external users and how it is used in resource allocation decisions. The topics covered include the preparation and use of the financial statements, the recording cycle, sales and receivables, inventories and cost of the goods sold, plant assets and intangibles, liabilities and owner's equity, cash flow, EBIT, EBITDA and financial statement analysis. Finansal Raporlama ve Finansal Tablo Analizi Finansal Raporlama kavram, prensip ve standartlarına kapsamlı bir giriş sunan bu derste finansal verilerin nasıl raporlandığı ve firma dışındaki kullanıcıların kaynak kullanımı ile ilgili kararlarında nasıl yardımcı olduğu vurgulanmaktadır. Ele alınacak başlıca konular finansal tabloların hazırlanması ve kullanımı, muhasebe kayıt süreci, satış gelirleri ve alacaklar, envanter ve satılan malın maliyeti hesapları, maddi ve maddi olmayan duran varlıklar, borç ve öz kaynak finansmanı nakit akış, FVÖK, FAVÖK ve finansal tablo analizidir. 3.000",,Must be enrolled in one of the following Programs: MBA-Professional-Non Thesis,
ACC 802,Managerial Accounting,802,"Fall, Spring","Managerial Accounting A comprehensive introduction to the design of management accounting procedures and systems that support managerial planning and control of operations. Topics include: cost classifications; analysis and design of product cost systems and product mix decisions; cost-volume-profit relationships; overhead cost allocations; behavioral effects of budgeting, cost variances and responsibility accounting systems; managerial incentives and compensation systems. Yönetim Muhasebesi Bu ders faaliyetlerin planlanmasında ve kontrolünde yöneticilere destek olan yönetim muhasebesi yöntem ve sistemlerinin dizaynına kapsamlı bir giriş sunmaktadır. İşlenecek konular: maliyetlerin sınıflandırılması; ürün maliyeti sistemlerinin ve ürün çeşitlemesi kararlarının analizi ve tasarımı; maliyet-miktar-karlılık ilişkileri; genel maliyetlerin dağıtımı; maliyet varyansları ve bütçeleme sistemlerinin davranışsal etkileri; yönetici teşvikleri ve ücret sistemleri. 1.500",,Must be enrolled in one of the following Programs: MBA-Professional-Non Thesis,
ACC 810,Financial Statement Analysis,810,"Fall, Spring","Financial Statement Analysis Financial Statement Analysis The course focuses on how finance professionals use and interpreting financial tables. Creation and use of financial ratios are discussed. Assessment of the financial strength of companies is examined. Finansal Tablo Analizi Finansal Tablo Analizi Bu dersin yoğunlaştığı konular finans profesyonellerinin mali tabloları nasıl kullandıkları ve yorumladıkları üzerinedir. Finansal tabloların yaratılması ve kullanılması, şirketlerin finansal kuvvetlerinin belirlenmesi incelenecek diğer konular arasındadır. 1.500",,Must be enrolled in one of the following Programs: MBA-Professional-Non Thesis,
ACC 901,Financial Reporting,901,"Fall, Spring",Financial Reporting The course offers an introduction to the principles and concepts of accounting along with the preparation and analysis of financial statements. The purpose is to make managers intelligent consumers of financial reports for managerial decision making. Finansal Raporlama Bu ders finansal raporların hazırlanması ve analizi ile birlikte muhasebe kavram ve prensiplerine bir giriş sunmaktadır. Dersin amacı yöneticilerin yönetimsel karar alırken kullanılacak finansal raporların bilinçli birer kullanıcısı olmalarını sağlamaktır. 1.500,,Must be enrolled in one of the following Programs: MBA-Executive-Non Thesis,
ACC 902,Managerial Accounting,902,"Fall, Spring","Managerial Accounting A comprehensive introduction to the design of management accounting procedures and systems that support managerial planning and control of operations. Topics include: cost classifications; analysis and design of product cost systems and product mix decisions; cost-volume-profit relationships; overhead cost allocations; behavioral effects of budgeting, cost variances and responsibility accounting systems; managerial incentives and compensation systems. Yönetim Muhasebesi Bu ders faaliyetlerin planlanmasında ve kontrolünde yöneticilere destek olan yönetim muhasebesi yöntem ve sistemlerinin dizaynına kapsamlı bir giriş sunmaktadır. İşlenecek konular: maliyetlerin sınıflandırılması; ürün maliyeti sistemlerinin ve ürün çeşitlemesi kararlarının analizi ve tasarımı; maliyet-miktar-karlılık ilişkileri; genel maliyetlerin dağıtımı; maliyet varyansları ve bütçeleme sistemlerinin davranışsal etkileri; yönetici teşvikleri ve ücret sistemleri. 1.500",,Must be enrolled in one of the following Programs: MBA-Executive-Non Thesis,
ACC 905,Advanced Managerial Accounting,905,"Fall, Spring","Advanced Managerial Accounting A comprehensive introduction to the design of management accounting procedures and systems that support managerial planning and control of operations. Topics include: cost classifications; analysis and design of product cost systems and product mix decisions; cost-volume-profit relationships; overhead cost allocations; behavioral effects of budgeting, cost variances and responsibility accounting systems; managerial incentives and compensation systems. İleri Yönetim Muhasebesi Bu ders faaliyetlerin planlanmasında ve kontrolünde yöneticilere destek olan yönetim muhasebesi yöntem ve sistemlerinin dizaynına kapsamlı bir giriş sunmaktadır. İşlenecek konular: maliyetlerin sınıflandırılması; ürün maliyeti sistemlerinin ve ürün çeşitlemesi kararlarının analizi ve tasarımı; maliyet-miktar-karlılık ilişkileri; genel maliyetlerin dağıtımı; maliyet varyansları ve bütçeleme sistemlerinin davranışsal etkileri; yönetici teşvikleri ve ücret sistemleri. 1.500",,Must be enrolled in one of the following Programs: MBA-Executive-Non Thesis,
ACC 906,Advanced Financial Accounting and Reporting,906,"Fall, Spring",Advanced Financial Accounting and Reporting The course offers an introduction to the principles and concepts of accounting along with the preparation and analysis of financial statements. The purpose is to make managers intelligent consumers of financial reports for managerial decision making. İleri Finansal Muhasebe ve Raporlama Bu ders finansal raporların hazırlanması ve analizi ile birlikte muhasebe kavram ve prensiplerine bir giriş sunmaktadır. Dersin amacı yöneticilerin yönetimsel karar alırken kullanılacak finansal raporların bilinçli birer kullanıcısı olmalarını sağlamaktır. 1.500,,Must be enrolled in one of the following Programs: MBA-Executive-Non Thesis,
ACC 910,Financial Statement Analysis,910,"Fall, Spring","Financial Statement Analysis The course focuses on how finance professionals use and interpreting financial tables. Creation and use of financial ratios are discussed. Assessment of the financial strength of companies is examined. Finansal Tablo Analizi Bu dersin yoğunlaştığı konular finans profesyonellerinin mali tabloları nasıl kullandıkları ve yorumladıkları üzerinedir. Finansal tabloların yaratılması ve kullanılması, şirketlerin finansal kuvvetlerinin belirlenmesi incelenecek diğer konular arasındadır. 1.500",,Must be enrolled in one of the following Programs: MBA-Executive-Non Thesis,
ACCA 200,Area Electives ACC,200,"Fall, Spring",Area Electives ACC Alan Seçmeli ACC 0.000,,,
AL 102,Academic Literacies,102,"Fall, Spring","Academic Literacies The Academic Literacies course aims to expand the communicative, critical thinking and academic skills of students required for success at undergraduate level. In addition to oral presentations, discussions and the facilitations of seminars, students will develop the research and writing skills needed to construct sound, evidence-based arguments. Throughout the course emphasis is placed on the need to analyze and critically approach a variety of texts such as academic articles, media resources and short fiction. Students participate in formal sessions as well as intensive, personalized tutorials with instructors and peer groups utilising the latest information technology. Successful completion of this course equips students with the skills needed for sustained academic achievement as proficient and autonomous English Language communicators. Akademik Okuryazarlıklar Akademik Okuryazarlıklar dersi lisans düzeyinde öğrencilerden beklenen iletişime yönelik, eleştirel düşünme ve akademik becerilerini geliştirmeyi amaçlar. Sözlü sunumlar, tartışma ve seminerlerin yanında öğrenciler sağlam, bulgulara dayalı tartışmalar gerçekleştirebilmek için araştırma ve yazma becerilerini geliştireceklerdir. Dönem boyunca akademik makaleler, medya kaynakları ve kısa hikayelerin analiz edilip eleştirel tarzda incelenmesi dersin ana vurgusudur. Öğrenciler bu derste en son bilgi teknolojilerini kullanarak ders saatlerinin yanısıra grup çalışmalarına ve yoğun bireysel danışmanlık toplantılarına katılırlar. Bu dersin başarıyla tamamlanmasıyla öğrenciler akademik başarıda gerekli olan İngilizcede yeterlik ve özerklik düzeyine ulaşırlar. 3.000",,,
ANTH 214,Anthropology as Cultural Critique,214,"Fall, Spring","Anthropology as Cultural Critique This course provides an introduction to anthropology, a discipline that has historically produced knowledge of ""other"" cultures on the basis of fieldwork. In recent decades, a critical anthropology has come to question both the concept of culture and the task of cultural representation. At the same time, the geographical, theoretical, methodological, and thematic scope of anthropological research has expanded. In this course, various anthropological theories and methods will be discussed in light of these recent debates with readings on different parts of the world, including Türkiye. For their final project, the students will have the option of writing a paper based on anthropological research. Kültür Eleştirisi Olarak Antropoloji Bu ders, öğrencilere antropolojiyi tanıtmayı amaçlar. Antropoloji, tarihsel olarak alan araştırması yoluyla ""öteki kültürler hakkında bilgi üretmiştir. Son yıllarda antropoloji, eleştirel bir bakış açısıyla, hem kültür kavramını sorgulamaya hem de kültürlerin nasıl temsil ve ifade edilebileceklerini yeni sorularla tartışmaya başlamıştır. Aynı zamanda, antropolojinin coğrafi, teorik, yöntemsel ve tematik alanı da genişlemektedir. Bu derste, çeşitli antropoloji kuram ve yöntemleri bu güncel tartışmaların ışığında Türkiye dahil dünyanın farklı yerlerinden örneklerle incelenecektir. Öğrencilere dönem sonu projesi için alan araştırması yapma seçeneği tanınacaktır. 3.000",,,
ANTH 255,"Local Cultures, Global Forces",255,"Fall, Spring","Local Cultures, Global Forces In the new millennium, we are faced with an increasingly globalized economy and culture. This course will seek to lay out the global forces that create this new world order/ disorder and address their unequal impact on particular localities. Institutions that shape the global economy (e.g. IMF and the World Bank), international non-governmental organizations that seek to raise global awareness (e.g. Greenpeace), as well as local organizations that problematize the effects of globalization will be discussed together with the theoretical underpinning of the changing sense of place and time created in these processes. Students will be asked to do research on local, national, and global responses to the different ecological, economic, social, and political aspects of globalization. Yerel Kültürler, Global Güçler Bu dersin konusu yeni dünya düzeni/düzensizliğinin arkasında yatan global güçler ve bunların farklı yerellikler üzerindeki eşitsiz etkileri olacaktır. Bir yandan yeni global ekonominin belkemiğini oluşturan kurumlar (örneğin IMF ve Dünya Bankası), global bir bilinç kazandırma yolunda çalışmalar yapan uluslararası sivil toplum kuruluşları (örneğin Greenpeace) ve globalleşmenin kendileri üzerindeki etkilerini sorunsallaştıran yerel örgütlenmeler hakkında bilgi edinilirken, bir yandan da bu süreç içerisinde değişen zaman ve mekan anlayışlarının kuramsal açılımları üzerinde durulacaktır. Öğrencilerden globalleşmenin farklı alanlardaki (ekolojik, ekonomik, sosyal, siyasi, kültürel) etkileri ve bunlar karşısında oluşan yerel, ulusal veya global düzeydeki tepkiler üzerine araştırma yapmaları beklenecektir. 3.000",,,
ANTH 321,Anthropology of Migration and the City,321,"Fall, Spring","Anthropology of Migration and the City Migration stands out as one of the most characteristic and complex features of the 21st century as more people than ever, coming from increasingly more disparate places, are migrating to new destinations for a greater variety of reasons and under distinct circumstances. A shared aspect though is that most of these migrations are urban in nature, being concentrated in cities attracting human, financial and other flows from across the globe. This course explores how anthropological research is engaging with these new trends in global migration and urbanism, by focusing on different theoretical and ethnographic discussions around some of the key concepts emerging in the literature, including: global cities, super-diversity, urban encounters, contact zones, everyday multiculture, everyday cosmopolitanisms and conviviality Göç ve Kent Antropolojisi Göç konusu 21ci yüzyılı tanımlayan en özgün ve karmaşık unsurlardan biri olarak öne çıkmakta çünkü günümüzde giderek artan sayıda insan, giderek çeşitlenen çıkış noktalarından, çok farklı nedenler ve koşullar altında yeni istikametlere göç etmekte. Bu artan değişkenlere rağmen benzerlik göstermeye başlayan bir nokta ise bu göçlerin kent merkezli oluşu, ve de özellikle dünyanın insani, finansal ve benzeri akımları için çekim noktası haline gelen kentlerine yönelmesidir. Bu ders küresel göç ve kent alanında gözlemlenen bu yeni eğilimlerin antropolojik araştırmalar çerçevesinde nasıl ele alındığını, özellikle de öne çıkan bazı yeni kavramlar nezdinde inceleyen teorik ve etnografik çalışmalar içerir. İşlenen kavram ve konular arasında: küresel kentler, süper-çeşitlilik, kentsel karşılaşmalar, temas bölgeleri, gündelik çok kültürlülük, gündelik kozmopolitanlık ve bir arada yaşama bulunmakta. 3.000",,,
